order_item_key,order_item_id,order_key,product_key,time_key,product_name,product_sku,shop_sku,variation,quantity,item_price,total_item_price,paid_price,item_voucher_discount,shipping_amount,tax_amount,item_status,cancellation_reason,tracking_code,warehouse_code,created_at,updated_at
,1041442765804140,,,20250919,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,330.0,330.0,229.2,100.8,0.0,0.0,confirmed,,MP1378512659,dropshipping,2025-09-19 19:04:22+08:00,2025-09-26 12:35:07+08:00
,1041462973708312,,,20250919,LA Collections Pure Oil Reed Diffuser,3727967121-1681442263070-10,3727967121_PH-19653362643,"Variation3:Fresh Bamboo, Variation1:50mL",1,490.0,490.0,402.43,87.57,0.0,0.0,confirmed,,MP1378512840,dropshipping,2025-09-19 20:39:30+08:00,2025-09-24 04:35:16+08:00
,1041462973808312,,,20250919,LA Collections Pure Oil Reed Diffuser,3727967121-1681442263070-4,3727967121_PH-19653362637,"Variation3:Solaire, Variation1:50mL",1,490.0,490.0,402.43,87.57,0.0,0.0,confirmed,,MP1378512840,dropshipping,2025-09-19 20:39:30+08:00,2025-09-24 04:35:16+08:00
,1041462973908312,,,20250919,Rattan Sticks for Reed Diffusers (5PCS),4726844228-1729943500336-1,4726844228_PH-27339128267,Color family:Black,1,30.0,30.0,24.64,5.36,0.0,0.0,confirmed,,MP1378512840,dropshipping,2025-09-19 20:39:30+08:00,2025-09-24 04:35:16+08:00
,1033515229623309,,,20250920,1 GALLON Humidifier / Diffuser Scent by L.A. Collections,4337079607-1707399140728-0,4337079607_PH-24334600882,Scent:Shangrila,1,1280.0,1280.0,1157.32,122.68,167.0,0.0,confirmed,,820133509655,dropshipping,2025-09-20 07:48:45+08:00,2025-09-27 08:37:54+08:00
,1033553407899368,,,20250920,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,395.0,0.0,40.5,0.0,confirmed,,MP1378721832,dropshipping,2025-09-20 10:51:27+08:00,2025-09-27 16:44:29+08:00
,1033553435636793,,,20250920,LA COLLECTIONS MARRIOTT Hotel Waterbased Diffuser Scent,1856986844-1617524415466-0,1856986844_PH-7871040075,"Volume (ml):1000, Scent:marriott",1,350.0,350.0,332.5,17.5,0.0,0.0,confirmed,,MP1378721735,dropshipping,2025-09-20 11:09:02+08:00,2025-09-26 14:22:35+08:00
,1033587007682180,,,20250920,L.A. Collections Lavender Humidifer / Diffuser / Linen Spray,LAV,3464151195_PH-17808092447,,1,395.0,395.0,375.25,19.75,0.0,0.0,confirmed,,MP1378721607,dropshipping,2025-09-20 13:49:30+08:00,2025-09-29 15:58:04+08:00
,1033615016445421,,,20250920,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,375.25,19.75,0.0,0.0,confirmed,,MP1379114757,dropshipping,2025-09-20 16:19:19+08:00,2025-09-27 13:39:01+08:00
,1033668620087976,,,20250920,1Liter L.A. Collections SHANGRI-LA Hotel Waterbased Diffuser Scents/Linen Spray/ Room Spray,1856947959-1748396661641-0,1856947959_PH-30097934851,,1,395.0,395.0,375.25,19.75,40.5,0.0,confirmed,,MP1379114673,dropshipping,2025-09-20 21:04:58+08:00,2025-09-26 16:07:32+08:00
