product_id,sku,product_name,shop_sku,product_main_sku,variation,category,brand,status,weight,dimensions,created_at,updated_at
PROD_3730272243-1681483587441-0,3730272243-1681483587441-0,10mL Hanging Car Diffuser by LA Collections,3730272243_PH-19667622955,,Variation3:Shangrila,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3730272243-1681483587441-7,3730272243-1681483587441-7,10mL Hanging Car Diffuser by LA Collections,3730272243_PH-19667622962,,Variation3:Marine Squash,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3730272243-1681483587441-1,3730272243-1681483587441-1,10mL Hanging Car Diffuser by LA Collections,3730272243_PH-19667622956,,Variation3:Fresh Bamboo,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_5175120341-1752677181110-0,5175120341-1752677181110-0,LED 500mL Ultrasonic Diffuser for Essential Oils/ Waterbased Scent with Remote,5175120341_PH-30683243468,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_P,P,(COD)  1 Liter Peppermint Waterbased Humidifier Scent,3884388412_PH-20793032962,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4896157465-1736809929400-4,4896157465-1736809929400-4,1L Waterbased Humidifier Scent,4896157465_PH-28517434720,,Scent:Solaire,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4896157465-1736809929399-1,4896157465-1736809929399-1,1L Waterbased Humidifier Scent,4896157465_PH-28517434717,,Scent:Okada,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4896157465-1747799557908-9,4896157465-1747799557908-9,1L Waterbased Humidifier Scent,4896157465_PH-30052318342,,Scent:Conrad,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3730272243-1681483587441-8,3730272243-1681483587441-8,10mL Hanging Car Diffuser by LA Collections,3730272243_PH-19667622963,,Variation3:Green Tea,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4896157465-1736809929399-2,4896157465-1736809929399-2,1L Waterbased Humidifier Scent,4896157465_PH-28517434718,,Scent:Bamboo,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4338109406-1707704430453-1,4338109406-1707704430453-1,Green Tea Scent for Humidifier,4338109406_PH-24338704397,,Size:Large,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_3382826683-1666063218249-0,3382826683-1666063218249-0,1L Solaire Humidifier Scent/ Diffuser Scent/ Linen Spray Scent LA Collections,3382826683_PH-17251724455,,,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
PROD_4337079607-1707399140729-9,4337079607-1707399140729-9,1 GALLON Humidifier / Diffuser Scent by L.A. Collections,4337079607_PH-24334600891,,Scent:Cherry Blossom,Unknown,Unknown,active,0.0,,2025-10-10T15:44:36.552122,2025-10-10T15:44:36.552122
