usage_key,voucher_key,order_key,customer_key,time_key,voucher_code,discount_amount,order_value_before_discount,order_value_after_discount,usage_date,customer_segment_at_usage,first_time_customer,created_at
,,,,20251006,,20.4,408.4,388.0,2025-10-06 06:55:53+08:00,unknown,False,2025-10-06 06:55:53+08:00
,,,,20251006,,18.8,413.8,395.0,2025-10-06 13:21:50+08:00,unknown,False,2025-10-06 13:21:50+08:00
,,,,20251006,,34.75,429.75,395.0,2025-10-06 13:43:13+08:00,unknown,False,2025-10-06 13:43:13+08:00
,,,,20251006,,34.75,429.75,395.0,2025-10-06 15:58:14+08:00,unknown,False,2025-10-06 15:58:14+08:00
,,,,20251006,,59.3,2034.3,1975.0,2025-10-06 22:29:52+08:00,unknown,False,2025-10-06 22:29:52+08:00
,,,,20251006,,19.75,414.75,395.0,2025-10-06 23:50:59+08:00,unknown,False,2025-10-06 23:50:59+08:00
,,,,20251007,,120.0,480.0,360.0,2025-10-07 08:45:40+08:00,unknown,False,2025-10-07 08:45:40+08:00
,,,,20251007,,54.1,449.1,395.0,2025-10-07 10:05:53+08:00,unknown,False,2025-10-07 10:05:53+08:00
,,,,20251007,,84.5,874.5,790.0,2025-10-07 10:11:00+08:00,unknown,False,2025-10-07 10:11:00+08:00
,,,,20251007,,6.35,401.35,395.0,2025-10-07 21:26:10+08:00,unknown,False,2025-10-07 21:26:10+08:00
,,,,20251008,,60.6,455.6,395.0,2025-10-08 20:25:07+08:00,unknown,False,2025-10-08 20:25:07+08:00
,,,,20251008,,39.75,434.75,395.0,2025-10-08 23:17:51+08:00,unknown,False,2025-10-08 23:17:51+08:00
,,,,20251009,,34.22,824.22,790.0,2025-10-09 10:04:28+08:00,unknown,False,2025-10-09 10:04:28+08:00
,,,,20251009,,64.0,1344.0,1280.0,2025-10-09 14:32:19+08:00,unknown,False,2025-10-09 14:32:19+08:00
,,,,20251010,,68.18,448.18,380.0,2025-10-10 01:30:53+08:00,unknown,False,2025-10-10 01:30:53+08:00
,,,,20251010,,40.0,435.0,395.0,2025-10-10 09:14:15+08:00,unknown,False,2025-10-10 09:14:15+08:00
,,,,20251010,,28.42,423.42,395.0,2025-10-10 11:13:08+08:00,unknown,False,2025-10-10 11:13:08+08:00
